rank,county,litersPerPerson
1,Dickinson,0.59
2,Ida,0.4
3,Hardin,0.33
4,Carroll,0.31
5,Kossuth,0.31
6,Polk,0.29
7,Cherokee,0.28
8,Linn,0.28
9,Crawford,0.28
10,Lucas,0.27
11,Clay,0.27
12,Dubuque,0.27
13,Johnson,0.26
14,Allamakee,0.25
15,Black Hawk,0.25
16,Scott,0.25
17,Union,0.25
18,Howard,0.23
19,Iowa,0.23
20,Boone,0.22
21,Jones,0.22
22,Bremer,0.22
23,Poweshiek,0.22
24,Webster,0.22
25,Woodbury,0.21
26,Winnebago,0.21
27,Sac,0.21
28,Clinton,0.2
29,Lyon,0.2
30,Floyd,0.2
31,Monona,0.2
32,Page,0.19
33,Story,0.19
34,Greene,0.19
35,Jackson,0.19
36,Lee,0.19
37,Fayette,0.17
38,Des Moines,0.17
39,Wright,0.17
40,Hamilton,0.17
41,Adair,0.16
42,Winneshiek,0.16
43,Palo Alto,0.16
44,Marshall,0.16
45,Delaware,0.16
46,Osceola,0.15
47,Appanoose,0.15
48,Clarke,0.14
49,Muscatine,0.14
50,Cedar,0.14
51,Shelby,0.14
52,Pocahontas,0.13
53,Madison,0.13
54,Hancock,0.13
55,Buchanan,0.13
56,Worth,0.13
57,Cass,0.13
58,Washington,0.13
59,Wapello,0.12
60,Chickasaw,0.12
61,Marion,0.12
62,Humboldt,0.12
63,Jasper,0.12
64,Monroe,0.11
65,Henry,0.11
66,Clayton,0.11
67,Franklin,0.11
68,Plymouth,0.1
69,Benton,0.1
70,Tama,0.1
71,Mitchell,0.1
72,Grundy,0.1
73,Sioux,0.1
74,Montgomery,0.09
75,Adams,0.09
76,Mills,0.09
77,Warren,0.08
78,Ringgold,0.08
79,Van Buren,0.08
80,Jefferson,0.08
81,Mahaska,0.08
82,Butler,0.08
83,Calhoun,0.08
84,Emmet,0.07
85,Dallas,0.07
86,Taylor,0.07
87,Wayne,0.06
88,Harrison,0.05
89,Louisa,0.05
90,Audubon,0.04
91,Keokuk,0.04
92,Decatur,0.03
93,Davis,0.03
94,Guthrie,0.02
95,Fremont,0.01
96,Pottawattamie,0.0
97,Cerro Gordo,0.0
98,Buena Vista,0.0
99,O'Brien,0.0
